modelName,company,release
a1,Abatz,2016-08-17
b1,Agimba,1993-10-31
c1,Avamm,2002-03-25
a2,Avaveo,1997-02-25
b2,Avaveo,2021-06-01
c2,Blogspan,2013-04-12
a3,Brainlounge,2000-09-07
b3,Brightbean,2021-11-30
c3,Brightdog,1985-02-26
a4,Brightdog,1986-09-10
b4,Browsebug,1987-04-25
c4,Browsedrive,1994-04-13
a5,Camido,1987-03-24
b5,Centidel,1994-01-25
c5,Centidel,1995-02-05
a6,Centimia,2017-06-11
b6,Devbug,1994-06-18
c6,Dynabox,1991-11-30
a7,Eayo,1982-05-31
b7,Edgeblab,2011-10-31
c7,Eimbee,2022-07-14
a8,Einti,2024-01-18
b8,Eire,2015-03-04
c8,Fadeo,2006-01-17
a9,Fadeo,2005-08-19
b9,Fatz,1995-03-14
c9,Feedfish,2005-03-02
a10,Fivebridge,2021-11-21
b10,Fiveclub,2022-07-01
c10,Fivespan,2014-01-25
a11,Gabspot,1986-07-27
b11,Gabtune,2008-07-01
c11,Geba,1993-09-04
a12,Gevee,2010-09-01
b12,Jabberbean,1989-09-11
c12,Jaxnation,2019-11-14
a13,Jayo,2017-11-03
b13,Jetwire,2016-07-25
c13,Kanoodle,2011-05-02
a14,Kazio,1996-08-17
b14,Kazu,1998-09-20
c14,Lazz,1997-04-19
a15,Linktype,2009-10-07
b15,Linktype,1983-11-13
c15,Livepath,1987-07-26
a16,Livetube,1999-08-23
b16,Meedoo,2023-05-23
c16,Meemm,2011-01-03
a17,Meevee,1991-04-22
b17,Mita,2016-01-20
c17,Mybuzz,2013-12-21
a18,Oloo,2015-01-20
b18,Oyoyo,2022-11-01
c18,Photobean,1999-09-10
a19,Photobug,2015-10-01
b19,Photofeed,2007-04-09
c19,Photospace,1982-05-07
a20,Pixonyx,1984-04-30
b20,Plambee,2022-08-05
c20,Plambee,2013-09-23
a21,Quinu,2002-01-30
b21,Quinu,2016-07-13
c21,Realbridge,2008-02-21
a22,Realcube,2021-05-10
b22,Realfire,1991-01-15
c22,Rhynyx,2023-07-15
a23,Rooxo,1991-04-28
b23,Shufflester,2016-06-16
c23,Shuffletag,2021-12-05
a24,Shuffletag,2011-02-28
b24,Skibox,2016-06-14
c24,Skimia,2021-07-17
a25,Skimia,2024-04-28
b25,Skiptube,1989-06-06
c25,Skyndu,2005-03-08
a26,Snaptags,2010-03-16
b26,Tagpad,2020-03-10
c26,Tagtune,1983-05-23
a27,Tambee,2000-09-23
b27,Tanoodle,2020-08-30
c27,Tavu,1995-03-13
a28,Tazz,1996-04-03
b28,Tazz,2002-10-26
c28,Topiczoom,2004-01-17
a29,Trunyx,2018-06-24
b29,Twinder,1992-11-09
c29,Twitterbridge,2010-06-14
a30,Twitterbridge,1989-11-29
b30,Vimbo,1983-10-03
c30,Vipe,2000-02-23
a31,Vitz,2016-07-29
b31,Voonte,2015-05-13
c31,Wikibox,2020-10-14
a32,Wikizz,2009-03-10
b32,Wordify,2015-02-11
c32,Yakijo,1989-09-30
a33,Youopia,1993-02-04
b33,Zava,2013-02-24
c33,Zoombox,2015-02-24
a34,Zoonder,1989-03-03
